relative_path,extension,status,extractor,chars,words,notes
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/Bank statements PDF/9.Dec-24.PDF,.pdf,ok,pymupdf,2410,396,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/1. Apr-24.XLS,.xls,ok,xlrd,715,102,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/10.Jan-25.XLS,.xls,ok,xlrd,1530,263,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/11.Feb-25.XLS,.xls,ok,xlrd,1282,214,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/12.Mar-25.XLS,.xls,ok,xlrd,1447,240,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/2. May-24.XLS,.xls,ok,xlrd,1015,152,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/3. June-24.XLS,.xls,ok,xlrd,910,145,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/4. July-24.XLS,.xls,ok,xlrd,1489,262,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/5. August-24.XLS,.xls,ok,xlrd,1645,285,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/6. September-24.XLS,.xls,ok,xlrd,1288,214,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/7. October-24.XLS,.xls,ok,xlrd,858,129,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/8. November-24.XLS,.xls,ok,xlrd,1641,283,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/9.December-24.XLS,.xls,ok,xlrd,1284,214,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/1.Apr-24.PDF,.pdf,ok,pymupdf,1236,197,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/10.Jan-25.PDF,.pdf,ok,pymupdf,1927,343,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/11.Feb-25.PDF,.pdf,ok,pymupdf,1707,295,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/12.Mar-25.PDF,.pdf,ok,pymupdf,1870,327,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/2.May-24.PDF,.pdf,ok,pymupdf,1524,247,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/3.Jun-24.PDF,.pdf,ok,pymupdf,1398,231,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/4.Jul-24.PDF,.pdf,ok,pymupdf,2068,367,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/5.Aug-24.PDF,.pdf,ok,pymupdf,2052,363,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/6.Sep-24.PDF,.pdf,ok,pymupdf,1719,300,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/7.Oct-24.PDF,.pdf,ok,pymupdf,1527,259,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/8.Nov-24.PDF,.pdf,ok,pymupdf,2028,364,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/2. HDFC - 4390/Pdf/9.Dec-24.PDF,.pdf,ok,pymupdf,1713,298,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/1.Apr-25.XLS,.xls,ok,xlrd,2889,453,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/10.Jan-26.XLS,.xls,ok,xlrd,3598,574,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/11.Feb-26.XLS,.xls,ok,xlrd,2240,340,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/12.Mar-26.XLS,.xls,ok,xlrd,4427,710,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/2.May-25.XLS,.xls,ok,xlrd,2808,433,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/3.Jun-25.XLS,.xls,ok,xlrd,3010,464,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/4.Jul-25.XLS,.xls,ok,xlrd,3448,581,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/5.Aug-25.XLS,.xls,ok,xlrd,2574,390,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/6.Sep-25.XLS,.xls,ok,xlrd,3024,460,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/7.Oct-25.XLS,.xls,ok,xlrd,2402,359,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/8.Nov-25.XLS,.xls,ok,xlrd,2132,331,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/9.Dec-25.XLS,.xls,ok,xlrd,2096,326,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/1.Apr-25.PDF,.pdf,ok,pymupdf,3652,607,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/10-Jan-26.PDF,.pdf,ok,pymupdf,4345,729,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/11.Feb-26.PDF,.pdf,ok,pymupdf,3007,492,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/12-Mar-26.PDF,.pdf,ok,pymupdf,5213,877,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/2.May-25.PDF,.pdf,ok,pymupdf,2033,363,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/3.Jun-25.PDF,.pdf,ok,pymupdf,3776,618,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/4.Jul-25.PDF,.pdf,ok,pymupdf,4133,729,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/5.Aug-25.PDF,.pdf,ok,pymupdf,3287,536,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/6.Sep-25.PDF,.pdf,ok,pymupdf,3798,616,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/7.Oct-25.PDF,.pdf,ok,pymupdf,3141,507,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/8.Nov-25.PDF,.pdf,ok,pymupdf,2475,410,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-2400/Bank Statement PDF/9.Dec-25.PDF,.pdf,ok,pymupdf,2426,402,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/1.Apr-25.XLS,.xls,ok,xlrd,1875,332,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/10.Jan-26.XLS,.xls,ok,xlrd,1338,206,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/11.Feb-26.XLS,.xls,ok,xlrd,194,31,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/12.Mar-26.XLS,.xls,ok,xlrd,878,128,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/2.May-25.XLS,.xls,ok,xlrd,1658,283,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/3.Jun-25.XLS,.xls,ok,xlrd,1996,352,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/4.Jul-25.XLS,.xls,ok,xlrd,1225,198,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/5.Aug-25.XLS,.xls,ok,xlrd,1089,171,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/6.Sep-25.XLS,.xls,ok,xlrd,1800,309,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/7.Oct-25.XLS,.xls,ok,xlrd,1219,198,
Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2025-26/HDFC-4390/8.Nov-25.XLS,.xls,ok,xlrd,1322,201,
